centX,centY,Sw_25,Sw_50,Sw_75,Sw_100,Sw_125,Sw_150,Sw_175,Sw_200,Sw_225,Sw_250,Sw_275,Sw_300,Sw_325,Sw_350,Sw_375,Sw_400,Sw_425,Sw_450,Sw_475,Sw_500,Sw_525,Sw_550,Sw_575,Sw_600,Sw_625,Sw_650,Sw_675,Sw_700,Sw_725,Sw_750,Sw_775,Sw_800,Sw_825,Sw_850,Sw_875,Sw_900,Sw_925,Sw_950,Sw_975,Sw_1000
132.8120955,282.5920365,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
126.8947993,292.8207684,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
114.4411222,315.6711225,0.564507674,0.580477759,0.592950725,0.604919185,0.613438559,0.620365559,0.626287756,0.631438414,0.63605979,0.640216329,0.643979543,0.647414285,0.650570815,0.653500156,0.656220847,0.65876224,0.66115093,0.663251142,0.665374348,0.668028102,0.670092073,0.672336444,0.6741888,0.675661788,0.676641134,0.677136851,0.677519552,0.678469851,0.679825867,0.681746284,0.683273617,0.68474412,0.686153837,0.68753986,0.688903173,0.690267083,0.691612548,0.693026071,0.69440196,0.695774002
102.1286426,341.0547266,0.444926322,0.472054327,0.490747802,0.508912267,0.520415643,0.530234641,0.538519567,0.545695939,0.55212725,0.557935657,0.563184444,0.567923456,0.572299797,0.576361906,0.58012862,0.58363895,0.586937632,0.590072314,0.592931424,0.595705013,0.598441564,0.60116716,0.603554167,0.605852737,0.607823029,0.609270052,0.61044474,0.611758335,0.613255516,0.614962566,0.616791062,0.61863862,0.620481617,0.622320682,0.624150722,0.625973247,0.627798499,0.62962874,0.631460839,0.633289627
91.33672698,366.7190502,0.316992646,0.387155783,0.421728511,0.442875416,0.457123252,0.469316138,0.479248696,0.487984497,0.495572976,0.502603856,0.50880559,0.514383125,0.519568338,0.524354699,0.528775272,0.532888604,0.536752656,0.540400317,0.543794863,0.547008168,0.550116484,0.553090887,0.555911354,0.558548679,0.560954195,0.562921552,0.564615599,0.566322626,0.568101349,0.569971503,0.571933187,0.573954415,0.575997577,0.578051838,0.580108197,0.582160178,0.584218213,0.586257931,0.588303046,0.590347147
82.06537538,392.6640933,0.265031782,0.332085017,0.370392924,0.3884546,0.40733368,0.421570289,0.433027201,0.443439357,0.452033675,0.460245049,0.467172821,0.473517268,0.479398022,0.484760777,0.489688468,0.494276526,0.498593906,0.502640402,0.506437676,0.510015811,0.513433292,0.516687773,0.519781317,0.522688839,0.525385531,0.52769661,0.529744176,0.531763803,0.533800994,0.535877608,0.537999675,0.540161287,0.542347629,0.544548185,0.546753877,0.548957704,0.551164843,0.553349145,0.555532293,0.55771126
74.3145878,418.889856,0.230136462,0.28562517,0.316917876,0.345932812,0.364405156,0.380368453,0.393711956,0.405229383,0.416129022,0.425082442,0.43264947,0.439885272,0.446461772,0.452332255,0.457719219,0.462746817,0.467500859,0.471907338,0.47604141,0.479952052,0.483665422,0.48718368,0.490514677,0.49366253,0.496600113,0.499176629,0.501499611,0.503776431,0.50604143,0.50831592,0.510604055,0.51290833,0.51522799,0.517557413,0.519889298,0.522218078,0.524544975,0.526847057,0.529141327,0.531424536
68.08436425,445.3963381,0.220276558,0.248403228,0.286333782,0.312501919,0.333748229,0.350220408,0.364544662,0.375989572,0.385038594,0.394128058,0.402446719,0.411019178,0.417971456,0.42429714,0.430166813,0.435703655,0.440873321,0.445616383,0.450067364,0.454337029,0.458330996,0.462103858,0.465670662,0.4690534,0.472211992,0.475017739,0.477584187,0.480090609,0.482562675,0.485022257,0.487474979,0.489927283,0.492384154,0.494843215,0.497298581,0.499746232,0.502183825,0.504593211,0.506987829,0.509361317
63.37470473,472.1835398,0.220000087,0.224276031,0.255243629,0.281650035,0.304553956,0.322518078,0.337610284,0.349773169,0.360750203,0.369898718,0.378713414,0.385266328,0.39233414,0.399057935,0.405360346,0.411780925,0.417177185,0.422225844,0.427047673,0.431711669,0.435968033,0.440007514,0.443826099,0.447451817,0.450813141,0.453838979,0.456645414,0.459369495,0.46203647,0.464673957,0.467292182,0.469900243,0.472503794,0.475100484,0.477684865,0.480253561,0.482799249,0.485314612,0.487801442,0.490253129
60.18560923,499.2514609,0.22,0.220047101,0.229092664,0.253217289,0.276453236,0.295917391,0.312082463,0.325545489,0.337368288,0.347334092,0.356534773,0.364458286,0.371572979,0.378451186,0.384707091,0.389914116,0.395464316,0.400772213,0.406426391,0.411123607,0.415634142,0.419974583,0.424086948,0.427969977,0.431508773,0.434775365,0.437831545,0.440765801,0.443621772,0.44643817,0.449229442,0.452006559,0.454770178,0.457515373,0.460237989,0.462930861,0.465580223,0.468207544,0.47077057,0.473261578
